lead_id,name,title,company,location,linkedin_url,lead_source,icp_score,classification,search_combo,combo_name,priority,touch_number,connection_status,reply_status,purchase_intent,summary_snippet,scrape_date,asana_task_name
325769194,Cheng-Ho(C.H.) Wu,Head of Cloud and AI Business,cacaFly 聖洋科技,New Taipei,https://www.linkedin.com/in/ACwAABNq1-oBby-kKwPYItDpteJj6NPkuTouzwU,A-LI-Scout/Apify-v2,95,HOT,combo_G,組合G：Product/Engineering Manager,P2,D1-待發,待發送,未回覆,1,VP of Technology Head of Cloud AI Business cacaFly. AI consultancy cloud architecture data platforms cybersecurity. 20+ enterprises AI implementation digital transformation. Generative AI. GCP AWS Goo,2026-06-03,[HOT-95] Cheng-Ho(C.H.) Wu | Head of Cloud and AI Business | cacaFly 聖洋科技 | 95分
960789,Monica Hsueh,Global Marketing Director,Speed 3D Inc.,Taipei,https://www.linkedin.com/in/ACwAAAAOqRUB9D1gVlOqrWgk2fa8aF9Tx8TwLFw,A-LI-Scout/Apify-v2,85,HOT,combo_B,組合B：行銷代理商高層,P2,D1-待發,待發送,未回覆,1,"Entrepreneur business strategist AI-driven product development, venture capital. AI processing, SaaS models, agentic AI intelligent automation. AI workflows content ad placement.",2026-06-03,[HOT-85] Monica Hsueh | Global Marketing Director | Speed 3D Inc. | 85分
490046353,Chi-Chung Chen,Director of Product and Machine Learning,aetherAI 雲象科技,Taiwan,https://www.linkedin.com/in/ACwAAB01g5EB3w0Sgi0oa-1sbFkP32n6gHQag9g,A-LI-Scout/Apify-v2,85,HOT,combo_G,組合G：Product/Engineering Manager,P2,D1-待發,待發送,未回覆,1,AI and product executive med-tech. IPO at aetherAI. Machine Learning Product Management departments. GigaPixel weakly supervised training algorithm patents. Gaia pathology foundation model Nature Comm,2026-06-03,[HOT-85] Chi-Chung Chen | Director of Product and Machin | aetherAI 雲象科技 | 85分
869596540,Ella Hung,Director of Digital Marketing,ACES Group 宏致集團,Taoyuan,https://www.linkedin.com/in/ACwAADPU_XwB18WcBHo0ZHAhoj5DZOLyDgv5GU8,A-LI-Scout/Apify-v2,83,HOT,combo_B,組合B：行銷代理商高層,P2,D1-待發,待發送,未回覆,1,"Marketing Digital Transformation Leader B2B B2C. AI-enabled business models, AI tools to reshape digital operations unlock new scalable revenue opportunities.",2026-06-03,[HOT-83] Ella Hung | Director of Digital Marketing | ACES Group 宏致集團 | 83分
125441689,YuYu Chen,Chief / Head of IT,Koo Foundation Sun Yat-Sen Cancer Center,Taiwan,https://www.linkedin.com/in/ACwAAAd6FpkB3bxX-aFgbQEYltplWzcmtdr9UGw,A-LI-Scout/Apify-v2,80,HOT,combo_A,組合A：科技公司IT決策者,P1,D1-待發,待發送,未回覆,1,"I lead IT and digital health systems at a specialist cancer centre, supporting more than 1,100 healthcare staff and leading a multidisciplinary IT team of 30+. My focus is on making clinical technolog",2026-06-03,[HOT-80] YuYu Chen | Chief / Head of IT | Koo Foundation Sun Yat-Sen Cancer Center | 80分
548475880,James Wu,Director of Technology & Innovation,InterContinental Kaohsiung,Tainan,https://www.linkedin.com/in/ACwAACCxE-gBl1s6KrJQSgypOGGRis0S6AihLWA,A-LI-Scout/Apify-v2,80,HOT,combo_A,組合A：科技公司IT決策者,P1,D1-待發,待發送,未回覆,1,Innovative IT Director with strong background implementing advanced automation solutions and AI-driven tools to enhance hotel operations.,2026-06-03,[HOT-80] James Wu | Director of Technology & Innov | InterContinental Kaohsiung | 80分
495033638,Tony Chen,Director of Digital Marketing,InterContinental Kaohsiung,Taipei,https://www.linkedin.com/in/ACwAAB2BnSYBypPtFchiXTIyKZVSgzsOYCmaXKM,A-LI-Scout/Apify-v2,80,HOT,combo_B,組合B：行銷代理商高層,P2,D1-待發,待發送,未回覆,1,"Digital Marketing Director with 10+ years SEO, AI-enabled marketing, automation. MarTech-driven decision framework, CRM, GA4, marketing automation platforms. CDP architecture and traffic growth planni",2026-06-03,[HOT-80] Tony Chen | Director of Digital Marketing | InterContinental Kaohsiung | 80分
11247844,Enoc Burgos,Director of Partnership Marketing,Reallusion,Taipei,https://www.linkedin.com/in/ACwAAACroOQBtCOYCcZ-4ScvUtWconLHRpKgzeU,A-LI-Scout/Apify-v2,80,HOT,combo_B,組合B：行銷代理商高層,P2,D1-待發,待發送,未回覆,1,"Dynamic marketing executive 15+ years technology, media, e-commerce, AI cloud sectors. Innovative marketing campaigns, global teams. AI cloud sectors.",2026-06-03,[HOT-80] Enoc Burgos | Director of Partnership Market | Reallusion | 80分
175754821,Matthew Ryan,Global Marketing Director,iKala,Taipei,https://www.linkedin.com/in/ACwAAAp5zkUBHUW5LB0SNRYrIfqO-vySWKq11j4,A-LI-Scout/Apify-v2,80,HOT,combo_B,組合B：行銷代理商高層,P2,D1-待發,待發送,未回覆,1,"15 years PR, marketing for tech companies and startups across Asia. TechCrunch, Bloomberg, Nikkei Asian Review.",2026-06-03,[HOT-80] Matthew Ryan | Global Marketing Director | iKala | 80分
184920693,Amanda Ye,"Director, Global Marketing Department",ARBOR Technology Corp.,Taipei,https://www.linkedin.com/in/ACwAAAsFqnUBUgr_X06KhlNMiz-sCsuh7NFe44I,A-LI-Scout/Apify-v2,80,HOT,combo_B,組合B：行銷代理商高層,P2,D1-待發,待發送,未回覆,1,Global Marketing Director ARBOR Technology. IoT go-to-market strategies brand equity international markets.,2026-06-03,"[HOT-80] Amanda Ye | Director, Global Marketing Dep | ARBOR Technology Corp. | 80分"
651016022,Anna Gong,"Regional Marketing Director, Asia",Portrait Displays,Taipei,https://www.linkedin.com/in/ACwAACbNt1YBQUkW4HrAegb-7A7gGGnsVy2G9rw,A-LI-Scout/Apify-v2,80,HOT,combo_B,組合B：行銷代理商高層,P2,D1-待發,待發送,未回覆,1,"Marketing expert 20 years advertising digital marketing PR event CRM integrated marketing. 4A agencies, global MNCs, startup experience.",2026-06-03,"[HOT-80] Anna Gong | Regional Marketing Director, A | Portrait Displays | 80分"
352187118,Yenhua Tu,Marketing Director,KabuK Style Inc.,Taipei,https://www.linkedin.com/in/ACwAABT98u4BEyfI3jf6SZCsvZEkErglSZBKerU,A-LI-Scout/Apify-v2,80,HOT,combo_B,組合B：行銷代理商高層,P2,D1-待發,待發送,未回覆,1,Branding influencer marketing CRM content creation. Financial services technology products travel platforms.,2026-06-03,[HOT-80] Yenhua Tu | Marketing Director | KabuK Style Inc. | 80分
627367438,Yvonne C.,Chief Marketing Officer,hububble,Taipei,https://www.linkedin.com/in/ACwAACVk3g4B3CKi2eGnmOq3wWe2N0laPyB58fc,A-LI-Scout/Apify-v2,80,HOT,combo_B,組合B：行銷代理商高層,P2,D1-待發,待發送,未回覆,1,數位轉型不只是買新工具，SEO、內容、電子報，HubSpot Marketing Automation，B2B銷售流程 CRM. 7年 MarTech Marketing Automation 導入。台灣 HubSpot 專家團隊社群負責人。,2026-06-03,[HOT-80] Yvonne C. | Chief Marketing Officer | hububble | 80分
354755421,Vanessa Chou,Director of Strategic Planning,MAKALOT INDUSTRIAL CO.,Taipei,https://www.linkedin.com/in/ACwAABUlI10BjIMkpfV7fdTc71qheHMUVDylFc4,A-LI-Scout/Apify-v2,80,HOT,combo_B,組合B：行銷代理商高層,P2,D1-待發,待發送,未回覆,1,"AI engineering global supply chains, fashion infrastructure meets emerging technology. AI-powered product development, AI investment fashion industry leadership.",2026-06-03,[HOT-80] Vanessa Chou | Director of Strategic Planning | MAKALOT INDUSTRIAL CO. | 80分
